Year,rank,Realized CEO compensation,Granted CEO compensation,Decades,rank1,Avg. Realized CEO compensation,Avg. Granted CEO compensation
1965,0,21.1,15.4,1960,0,23.28,17
1966,0,22.3,16.3,1970,0,27,19.8
1967,0,23.6,17.3,1980,0,49.13,36
1968,0,24.8,18.2,1990,0,153.05,154.1
1969,0,24.6,18,2000,0,261.94,253.4
1970,0,24.3,17.8,2010,0,297.81,208.3
1971,0,24,17.6,1960,1,23.28,17
1972,0,23.7,17.4,1970,1,27,19.8
1973,0,23.4,17.2,1980,1,49.13,36
1974,0,25,18.3,1990,1,153.05,154.1
1975,0,26.6,19.5,2000,1,261.94,253.4
1976,0,28.2,20.7,2010,1,297.81,208.3
1977,0,29.8,21.8,1960,2,23.28,17
1978,0,31.4,23,1970,2,27,19.8
1979,0,34.1,25,1980,2,49.13,36
1980,0,36.9,27,1990,2,153.05,154.1
1981,0,39.6,29,2000,2,261.94,253.4
1982,0,42.3,31,2010,2,297.81,208.3
1983,0,45,33,1960,3,23.28,17
1984,0,47.8,35,1970,3,27,19.8
1985,0,50.5,37,1980,3,49.13,36
1986,0,53.2,39,1990,3,153.05,154.1
1987,0,55.9,41,2000,3,261.94,253.4
1988,0,58.7,43,2010,3,297.81,208.3
1989,0,61.4,45,1960,4,23.28,17
1990,0,77.3,56.6,1970,4,27,19.8
1991,0,93.1,68.2,1980,4,49.13,36
1992,0,109,79.8,1990,4,153.05,154.1
1993,0,108.6,99.6,2000,4,261.94,253.4
1994,0,87.4,116.6,2010,4,297.81,208.3
1995,0,117.6,131,1960,5,23.28,17
1996,0,150.6,177,1970,5,27,19.8
1997,0,223.4,234.1,1980,5,49.13,36
1998,0,297.4,293.4,1990,5,153.05,154.1
1999,0,266.1,284.4,2000,5,261.94,253.4
2000,0,365.7,386.1,2010,5,297.81,208.3
2001,0,210.6,322.6,1960,6,23.28,17
2002,0,186.8,235,1970,6,27,19.8
2003,0,228.8,227,1980,6,49.13,36
2004,0,265.7,235,1990,6,153.05,154.1
2005,0,318.4,244.5,2000,6,261.94,253.4
2006,0,328.2,244.1,2010,6,297.81,208.3
2007,0,330.9,242,1960,7,23.28,17
2008,0,206.7,219.4,1970,7,27,19.8
2009,0,177.6,178.3,1980,7,49.13,36
2010,0,213.1,202.8,1990,7,153.05,154.1
2011,0,242.4,208.1,2000,7,261.94,253.4
2012,0,371.7,201.3,2010,7,297.81,208.3
2013,0,318.5,209.7,1960,8,23.28,17
2014,0,326.6,217.2,1970,8,27,19.8
2015,0,318.8,209.5,1980,8,49.13,36
2016,0,271.6,205.8,1990,8,153.05,154.1
2017,0,302.1,193.2,2000,8,261.94,253.4
2018,0,293.3,212.3,2010,8,297.81,208.3
2019,0,320,222.8,1960,9,23.28,17
1965,1,21.1,15.4,1970,9,27,19.8
1966,1,22.3,16.3,1980,9,49.13,36
1967,1,23.6,17.3,1990,9,153.05,154.1
1968,1,24.8,18.2,2000,9,261.94,253.4
1969,1,24.6,18,2010,9,297.81,208.3
1970,1,24.3,17.8,1960,10,23.28,17
1971,1,24,17.6,1970,10,27,19.8
1972,1,23.7,17.4,1980,10,49.13,36
1973,1,23.4,17.2,1990,10,153.05,154.1
1974,1,25,18.3,2000,10,261.94,253.4
1975,1,26.6,19.5,2010,10,297.81,208.3
1976,1,28.2,20.7,1960,11,23.28,17
1977,1,29.8,21.8,1970,11,27,19.8
1978,1,31.4,23,1980,11,49.13,36
1979,1,34.1,25,1990,11,153.05,154.1
1980,1,36.9,27,2000,11,261.94,253.4
1981,1,39.6,29,2010,11,297.81,208.3
1982,1,42.3,31,1960,12,23.28,17
1983,1,45,33,1970,12,27,19.8
1984,1,47.8,35,1980,12,49.13,36
1985,1,50.5,37,1990,12,153.05,154.1
1986,1,53.2,39,2000,12,261.94,253.4
1987,1,55.9,41,2010,12,297.81,208.3
1988,1,58.7,43,1960,13,23.28,17
1989,1,61.4,45,1970,13,27,19.8
1990,1,77.3,56.6,1980,13,49.13,36
1991,1,93.1,68.2,1990,13,153.05,154.1
1992,1,109,79.8,2000,13,261.94,253.4
1993,1,108.6,99.6,2010,13,297.81,208.3
1994,1,87.4,116.6,1960,14,23.28,17
1995,1,117.6,131,1970,14,27,19.8
1996,1,150.6,177,1980,14,49.13,36
1997,1,223.4,234.1,1990,14,153.05,154.1
1998,1,297.4,293.4,2000,14,261.94,253.4
1999,1,266.1,284.4,2010,14,297.81,208.3
2000,1,365.7,386.1,1960,15,23.28,17
2001,1,210.6,322.6,1970,15,27,19.8
2002,1,186.8,235,1980,15,49.13,36
2003,1,228.8,227,1990,15,153.05,154.1
2004,1,265.7,235,2000,15,261.94,253.4
2005,1,318.4,244.5,2010,15,297.81,208.3
2006,1,328.2,244.1,1960,16,23.28,17
2007,1,330.9,242,1970,16,27,19.8
2008,1,206.7,219.4,1980,16,49.13,36
2009,1,177.6,178.3,1990,16,153.05,154.1
2010,1,213.1,202.8,2000,16,261.94,253.4
2011,1,242.4,208.1,2010,16,297.81,208.3
2012,1,371.7,201.3,1960,17,23.28,17
2013,1,318.5,209.7,1970,17,27,19.8
2014,1,326.6,217.2,1980,17,49.13,36
2015,1,318.8,209.5,1990,17,153.05,154.1
2016,1,271.6,205.8,2000,17,261.94,253.4
2017,1,302.1,193.2,2010,17,297.81,208.3
2018,1,293.3,212.3,1960,18,23.28,17
2019,1,320,222.8,1970,18,27,19.8
1965,2,21.1,15.4,1980,18,49.13,36
1966,2,22.3,16.3,1990,18,153.05,154.1
1967,2,23.6,17.3,2000,18,261.94,253.4
1968,2,24.8,18.2,2010,18,297.81,208.3
1969,2,24.6,18,1960,19,23.28,17
1970,2,24.3,17.8,1970,19,27,19.8
1971,2,24,17.6,1980,19,49.13,36
